id,text
ID_1,Sample phrase number 1.
ID_2,Sample phrase number 2.
ID_3,Sample phrase number 3.
ID_4,Sample phrase number 4.
ID_5,Sample phrase number 5.
ID_6,Sample phrase number 6.
ID_7,Sample phrase number 7.
ID_8,Sample phrase number 8.
ID_9,Sample phrase number 9.
ID_10,Sample phrase number 10.
ID_11,Sample phrase number 11.
ID_12,Sample phrase number 12.
ID_13,Sample phrase number 13.
ID_14,Sample phrase number 14.
ID_15,Sample phrase number 15.
ID_16,Sample phrase number 16.
ID_17,Sample phrase number 17.
ID_18,Sample phrase number 18.
ID_19,Sample phrase number 19.
ID_20,Sample phrase number 20.
ID_21,Sample phrase number 21.
ID_22,Sample phrase number 22.
ID_23,Sample phrase number 23.
ID_24,Sample phrase number 24.
ID_25,Sample phrase number 25.
ID_26,Sample phrase number 26.
ID_27,Sample phrase number 27.
ID_28,Sample phrase number 28.
ID_29,Sample phrase number 29.
ID_30,Sample phrase number 30.
ID_31,Sample phrase number 31.
ID_32,Sample phrase number 32.
ID_33,Sample phrase number 33.
ID_34,Sample phrase number 34.
ID_35,Sample phrase number 35.
ID_36,Sample phrase number 36.
ID_37,Sample phrase number 37.
ID_38,Sample phrase number 38.
ID_39,Sample phrase number 39.
ID_40,Sample phrase number 40.
ID_41,Sample phrase number 41.
ID_42,Sample phrase number 42.
ID_43,Sample phrase number 43.
ID_44,Sample phrase number 44.
ID_45,Sample phrase number 45.
ID_46,Sample phrase number 46.
ID_47,Sample phrase number 47.
ID_48,Sample phrase number 48.
ID_49,Sample phrase number 49.
ID_50,Sample phrase number 50.
ID_51,Sample phrase number 51.
ID_52,Sample phrase number 52.
