id,text,sentiment,confidence,status
ID_1,Sample phrase number 1.,negative,0.86,SUCCESS
ID_2,Sample phrase number 2.,negative,0.76,SUCCESS
ID_3,Sample phrase number 3.,negative,0.89,SUCCESS
ID_4,Sample phrase number 4.,negative,0.83,SUCCESS
ID_5,Sample phrase number 5.,negative,0.92,SUCCESS
ID_6,Sample phrase number 6.,negative,0.94,SUCCESS
ID_7,Sample phrase number 7.,negative,0.79,SUCCESS
ID_8,Sample phrase number 8.,negative,0.76,SUCCESS
ID_9,Sample phrase number 9.,negative,0.77,SUCCESS
ID_10,Sample phrase number 10.,positive,0.76,SUCCESS
ID_11,Sample phrase number 11.,positive,0.85,SUCCESS
ID_12,Sample phrase number 12.,positive,0.94,SUCCESS
ID_13,Sample phrase number 13.,positive,0.93,SUCCESS
ID_14,Sample phrase number 14.,positive,0.92,SUCCESS
ID_15,Sample phrase number 15.,positive,0.75,SUCCESS
ID_16,Sample phrase number 16.,positive,0.78,SUCCESS
ID_17,Sample phrase number 17.,positive,0.94,SUCCESS
ID_18,Sample phrase number 18.,positive,0.77,SUCCESS
ID_19,Sample phrase number 19.,positive,0.78,SUCCESS
ID_20,Sample phrase number 20.,positive,0.84,SUCCESS
ID_21,Sample phrase number 21.,positive,0.95,SUCCESS
ID_22,Sample phrase number 22.,positive,0.98,SUCCESS
ID_23,Sample phrase number 23.,positive,0.83,SUCCESS
ID_24,Sample phrase number 24.,positive,0.95,SUCCESS
ID_25,Sample phrase number 25.,positive,0.88,SUCCESS
ID_26,Sample phrase number 26.,positive,0.76,SUCCESS
ID_27,Sample phrase number 27.,positive,0.8,SUCCESS
ID_28,Sample phrase number 28.,positive,0.92,SUCCESS
ID_29,Sample phrase number 29.,positive,0.98,SUCCESS
ID_30,Sample phrase number 30.,positive,0.94,SUCCESS
ID_31,Sample phrase number 31.,positive,0.91,SUCCESS
ID_32,Sample phrase number 32.,positive,0.91,SUCCESS
ID_33,Sample phrase number 33.,positive,0.83,SUCCESS
ID_34,Sample phrase number 34.,positive,0.85,SUCCESS
ID_35,Sample phrase number 35.,positive,0.82,SUCCESS
ID_36,Sample phrase number 36.,positive,0.95,SUCCESS
ID_37,Sample phrase number 37.,positive,0.88,SUCCESS
ID_38,Sample phrase number 38.,positive,0.97,SUCCESS
ID_39,Sample phrase number 39.,positive,0.85,SUCCESS
ID_40,Sample phrase number 40.,positive,0.93,SUCCESS
ID_41,Sample phrase number 41.,positive,0.96,SUCCESS
ID_42,Sample phrase number 42.,positive,0.96,SUCCESS
ID_43,Sample phrase number 43.,positive,0.85,SUCCESS
ID_44,Sample phrase number 44.,positive,0.88,SUCCESS
ID_45,Sample phrase number 45.,positive,0.95,SUCCESS
ID_46,Sample phrase number 46.,positive,0.95,SUCCESS
ID_47,Sample phrase number 47.,positive,0.9,SUCCESS
ID_48,Sample phrase number 48.,positive,0.85,SUCCESS
ID_49,Sample phrase number 49.,positive,0.92,SUCCESS
ID_50,Sample phrase number 50.,positive,0.91,SUCCESS
ID_51,Sample phrase number 51.,positive,0.75,SUCCESS
ID_52,Sample phrase number 52.,positive,0.86,SUCCESS
